         4666751 function calls (4278882 primitive calls) in 17.153 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   17.159   17.159 F:\Ventura\main\main.py:10(main)
        1    0.000    0.000    9.559    9.559 F:\Ventura\main\trade_executor.py:9(execute_trades)
        1    0.217    0.217    9.557    9.557 F:\Ventura\main\trade_executor.py:10(run_simulation)
        1    0.000    0.000    7.511    7.511 F:\Ventura\main\model_trainer.py:6(train_model)
     3562    0.029    0.000    6.427    0.002 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\base_class.py:536(predict)
     3562    0.136    0.000    6.398    0.002 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:331(predict)
        1    0.000    0.000    4.908    4.908 F:\Ventura\env\Lib\site-packages\stable_baselines3\ppo\ppo.py:306(learn)
        1    0.000    0.000    4.908    4.908 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\on_policy_algorithm.py:276(learn)
     3562    0.025    0.000    3.553    0.001 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:709(_predict)
66072/14017    0.165    0.000    3.182    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:1732(_wrapped_call_impl)
66072/14017    0.266    0.000    3.131    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:1740(_call_impl)
      321    0.001    0.000    2.669    0.008 F:\Ventura\env\Lib\site-packages\torch\_compile.py:22(inner)
   3544/3    0.018    0.000    2.651    0.884 <frozen importlib._bootstrap>:1167(_find_and_load)
    886/2    0.009    0.000    2.651    1.325 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
    850/2    0.007    0.000    2.650    1.325 <frozen importlib._bootstrap>:666(_load_unlocked)
    848/2    0.004    0.000    2.649    1.325 <frozen importlib._bootstrap_external>:934(exec_module)
   1927/4    0.002    0.000    2.647    0.662 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   1900/2    0.221    0.000    2.647    1.324 {built-in method builtins.exec}
        1    0.065    0.065    2.603    2.603 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\on_policy_algorithm.py:139(collect_rollouts)
        1    0.000    0.000    2.603    2.603 F:\Ventura\env\Lib\site-packages\stable_baselines3\ppo\ppo.py:80(__init__)
        1    0.000    0.000    2.603    2.603 F:\Ventura\env\Lib\site-packages\stable_baselines3\ppo\ppo.py:173(_setup_model)
        1    0.000    0.000    2.603    2.603 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\on_policy_algorithm.py:114(_setup_model)
        1    0.000    0.000    2.602    2.602 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:448(__init__)
        1    0.000    0.000    2.601    2.601 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:585(_build)
        1    0.000    0.000    2.592    2.592 F:\Ventura\env\Lib\site-packages\torch\optim\adam.py:33(__init__)
        1    0.000    0.000    2.592    2.592 F:\Ventura\env\Lib\site-packages\torch\optim\optimizer.py:343(__init__)
        1    0.000    0.000    2.590    2.590 F:\Ventura\env\Lib\site-packages\torch\_dynamo\__init__.py:1(<module>)
    927/8    0.004    0.000    2.584    0.323 <frozen importlib._bootstrap>:1209(_handle_fromlist)
    196/2    0.001    0.000    2.584    1.292 {built-in method builtins.__import__}
     3562    0.054    0.000    2.574    0.001 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:743(get_distribution)
     3024    0.028    0.000    2.331    0.001 E:\Python311\Lib\logging\__init__.py:1479(info)
        1    0.000    0.000    2.321    2.321 F:\Ventura\env\Lib\site-packages\torch\_dynamo\convert_frame.py:1(<module>)
        1    0.136    0.136    2.302    2.302 F:\Ventura\env\Lib\site-packages\stable_baselines3\ppo\ppo.py:184(train)
     3024    0.026    0.000    2.297    0.001 E:\Python311\Lib\logging\__init__.py:1610(_log)
     5930    0.055    0.000    1.898    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:684(_get_action_dist_from_latent)
     3024    0.013    0.000    1.818    0.001 E:\Python311\Lib\logging\__init__.py:1636(handle)
     3024    0.019    0.000    1.800    0.001 E:\Python311\Lib\logging\__init__.py:1690(callHandlers)
     3024    0.017    0.000    1.782    0.001 E:\Python311\Lib\logging\__init__.py:965(handle)
     2048    0.037    0.000    1.781    0.001 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:636(forward)
     3564    0.009    0.000    1.759    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:203(set_training_mode)
57024/3564    0.331    0.000    1.750    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:2827(train)
     3024    0.019    0.000    1.747    0.001 E:\Python311\Lib\logging\handlers.py:65(emit)
     5930    0.052    0.000    1.571    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\distributions.py:287(proba_distribution)
     5930    0.218    0.000    1.519    0.000 F:\Ventura\env\Lib\site-packages\torch\distributions\categorical.py:53(__init__)
     3024    0.061    0.000    1.309    0.000 E:\Python311\Lib\logging\handlers.py:183(shouldRollover)
     8299    0.110    0.000    1.306    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\container.py:248(forward)
     5610    0.010    0.000    1.280    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\distributions.py:80(get_actions)
     5610    0.025    0.000    1.270    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\distributions.py:297(sample)
     5610    0.126    0.000    1.245    0.000 F:\Ventura\env\Lib\site-packages\torch\distributions\categorical.py:130(sample)
        1    0.001    0.001    1.225    1.225 F:\Ventura\env\Lib\site-packages\torch\_dynamo\utils.py:1(<module>)
        1    0.000    0.000    1.156    1.156 F:\Ventura\env\Lib\site-packages\torch\fx\experimental\symbolic_shapes.py:1(<module>)
     5930    0.022    0.000    1.134    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\torch_layers.py:224(forward_actor)
     9925    1.059    0.000    1.059    0.000 {built-in method nt.stat}
        1    0.000    0.000    1.022    1.022 F:\Ventura\env\Lib\site-packages\torch\utils\_sympy\functions.py:1(<module>)
        1    0.000    0.000    0.999    0.999 F:\Ventura\env\Lib\site-packages\sympy\__init__.py:1(<module>)
        1    0.000    0.000    0.990    0.990 F:\Ventura\env\Lib\site-packages\torch\_dynamo\trace_rules.py:1(<module>)
    57082    0.389    0.000    0.970    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:1935(__setattr__)
        1    0.000    0.000    0.914    0.914 F:\Ventura\env\Lib\site-packages\torch\_dynamo\variables\__init__.py:1(<module>)
    24897    0.129    0.000    0.914    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\linear.py:124(forward)
    24897    0.737    0.000    0.737    0.000 {built-in method torch._C._nn.linear}
     5610    0.727    0.000    0.727    0.000 {built-in method torch.multinomial}
     3562    0.065    0.000    0.724    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:236(obs_to_tensor)
      848    0.017    0.000    0.703    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
     5930    0.155    0.000    0.693    0.000 F:\Ventura\env\Lib\site-packages\torch\distributions\distribution.py:41(__init__)
573676/459528    0.351    0.000    0.690    0.000 {built-in method builtins.isinstance}
     3739    0.012    0.000    0.662    0.000 <frozen genericpath>:16(exists)
      320    0.009    0.000    0.647    0.002 F:\Ventura\env\Lib\site-packages\torch\optim\optimizer.py:467(wrapper)
     2368    0.007    0.000    0.630    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\torch_layers.py:217(forward)
        1    0.000    0.000    0.611    0.611 F:\Ventura\env\Lib\site-packages\torch\_dynamo\variables\builtin.py:1(<module>)
      320    0.006    0.000    0.592    0.002 F:\Ventura\env\Lib\site-packages\torch\optim\optimizer.py:72(_use_grad)
      320    0.005    0.000    0.583    0.002 F:\Ventura\env\Lib\site-packages\torch\optim\adam.py:189(step)
     5930    0.580    0.000    0.580    0.000 {method 'logsumexp' of 'torch._C.TensorBase' objects}
      320    0.002    0.000    0.532    0.002 F:\Ventura\env\Lib\site-packages\torch\optim\optimizer.py:140(maybe_fallback)
      320    0.004    0.000    0.529    0.002 F:\Ventura\env\Lib\site-packages\torch\optim\adam.py:717(adam)
      320    0.002    0.000    0.515    0.002 F:\Ventura\env\Lib\site-packages\torch\_tensor.py:525(backward)
      320    0.005    0.000    0.513    0.002 F:\Ventura\env\Lib\site-packages\torch\autograd\__init__.py:242(backward)
      320    0.205    0.001    0.510    0.002 F:\Ventura\env\Lib\site-packages\torch\optim\adam.py:320(_single_tensor_adam)
        1    0.000    0.000    0.499    0.499 F:\Ventura\env\Lib\site-packages\sympy\polys\__init__.py:1(<module>)
      320    0.003    0.000    0.490    0.002 F:\Ventura\env\Lib\site-packages\torch\autograd\graph.py:816(_engine_run_backward)
      320    0.486    0.002    0.486    0.002 {method 'run_backward' of 'torch._C._EngineBase' objects}
        1    0.000    0.000    0.479    0.479 F:\Ventura\env\Lib\site-packages\torch\_dynamo\variables\ctx_manager.py:1(<module>)
        1    0.000    0.000    0.463    0.463 F:\Ventura\env\Lib\site-packages\torch\_dynamo\variables\functions.py:1(<module>)
     5610    0.013    0.000    0.463    0.000 F:\Ventura\env\Lib\site-packages\gymnasium\wrappers\order_enforcing.py:52(step)
     5931    0.027    0.000    0.456    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:122(extract_features)
      320    0.007    0.000    0.455    0.001 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:719(evaluate_actions)
     5610    0.018    0.000    0.450    0.000 F:\Ventura\env\Lib\site-packages\gymnasium\wrappers\env_checker.py:45(step)
1963/1917    0.140    0.000    0.432    0.000 {built-in method builtins.__build_class__}
   110559    0.172    0.000    0.432    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:2722(children)
     5610    0.122    0.000    0.432    0.000 F:\Ventura\env\Lib\site-packages\gym_anytrading\envs\trading_env.py:80(step)
      848    0.006    0.000    0.430    0.001 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.424    0.424 F:\Ventura\env\Lib\site-packages\torch\distributed\_composable\__init__.py:1(<module>)
     3024    0.010    0.000    0.419    0.000 E:\Python311\Lib\logging\__init__.py:1216(emit)
        1    0.000    0.000    0.417    0.417 F:\Ventura\env\Lib\site-packages\torch\distributed\_composable\fully_shard.py:1(<module>)
        1    0.000    0.000    0.416    0.416 F:\Ventura\env\Lib\site-packages\torch\distributed\fsdp\__init__.py:1(<module>)
     3024    0.019    0.000    0.409    0.000 E:\Python311\Lib\logging\__init__.py:1098(emit)
    11298    0.041    0.000    0.408    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:2611(parameters)
     2368    0.006    0.000    0.407    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\distributions.py:291(log_prob)
     2048    0.005    0.000    0.404    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\vec_env\base_vec_env.py:198(step)
     2368    0.061    0.000    0.401    0.000 F:\Ventura\env\Lib\site-packages\torch\distributions\categorical.py:137(log_prob)
     2048    0.034    0.000    0.397    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\vec_env\dummy_vec_env.py:55(step_wait)
     6048    0.018    0.000    0.387    0.000 E:\Python311\Lib\logging\__init__.py:942(format)
     5930    0.131    0.000    0.375    0.000 F:\Ventura\env\Lib\site-packages\torch\distributions\constraints.py:243(check)
     6048    0.057    0.000    0.368    0.000 E:\Python311\Lib\logging\__init__.py:674(format)
        1    0.000    0.000    0.363    0.363 F:\Ventura\env\Lib\site-packages\torch\distributed\fsdp\_flat_param.py:1(<module>)
    11298    0.019    0.000    0.359    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:2636(named_parameters)
     3563    0.031    0.000    0.359    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:148(device)
      274    0.001    0.000    0.348    0.001 E:\Python311\Lib\dataclasses.py:1212(wrap)
      274    0.020    0.000    0.347    0.001 E:\Python311\Lib\dataclasses.py:884(_process_class)
    11298    0.090    0.000    0.341    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:2591(_named_members)
        1    0.000    0.000    0.337    0.337 F:\Ventura\env\Lib\site-packages\torch\distributed\fsdp\_fsdp_extensions.py:1(<module>)
      848    0.334    0.000    0.334    0.000 {built-in method io.open_code}
     3024    0.016    0.000    0.304    0.000 E:\Python311\Lib\logging\__init__.py:1595(makeRecord)
    11860    0.074    0.000    0.294    0.000 F:\Ventura\env\Lib\site-packages\torch\distributions\utils.py:145(__get__)
     3024    0.101    0.000    0.288    0.000 E:\Python311\Lib\logging\__init__.py:292(__init__)
        1    0.000    0.000    0.285    0.285 F:\Ventura\env\Lib\site-packages\torch\distributed\fsdp\_shard_utils.py:1(<module>)
     2369    0.009    0.000    0.284    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\torch_layers.py:227(forward_critic)
        1    0.000    0.000    0.284    0.284 F:\Ventura\env\Lib\site-packages\torch\distributed\tensor\__init__.py:1(<module>)
        1    0.000    0.000    0.283    0.283 F:\Ventura\env\Lib\site-packages\torch\distributed\tensor\_ops\__init__.py:1(<module>)
      879    0.015    0.000    0.276    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
     3024    0.018    0.000    0.274    0.000 <frozen genericpath>:27(isfile)
        1    0.000    0.000    0.264    0.264 F:\Ventura\env\Lib\site-packages\sympy\polys\polyfuncs.py:1(<module>)
        1    0.000    0.000    0.263    0.263 F:\Ventura\env\Lib\site-packages\sympy\polys\specialpolys.py:1(<module>)
   110559    0.221    0.000    0.260    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:2731(named_children)
        1    0.000    0.000    0.259    0.259 F:\Ventura\env\Lib\site-packages\torch\_dynamo\polyfills\loader.py:1(<module>)
  2669/15    0.004    0.000    0.259    0.017 E:\Python311\Lib\importlib\__init__.py:108(import_module)
  2670/15    0.004    0.000    0.259    0.017 <frozen importlib._bootstrap>:1194(_gcd_import)
        6    0.000    0.000    0.258    0.043 F:\Ventura\env\Lib\site-packages\torch\_dynamo\polyfills\loader.py:22(<genexpr>)
        8    0.000    0.000    0.253    0.032 F:\Ventura\env\Lib\site-packages\torch\_dynamo\decorators.py:245(wrapper)
      274    0.001    0.000    0.252    0.001 E:\Python311\Lib\dataclasses.py:1195(dataclass)
      320    0.009    0.000    0.251    0.001 F:\Ventura\env\Lib\site-packages\torch\nn\utils\clip_grad.py:28(_no_grad_wrapper)
        1    0.000    0.000    0.250    0.250 F:\Ventura\env\Lib\site-packages\torch\_dynamo\polyfills\builtins.py:1(<module>)
      879    0.002    0.000    0.249    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
        1    0.004    0.004    0.248    0.248 F:\Ventura\env\Lib\site-packages\torch\_dynamo\trace_rules.py:2854(get_torch_obj_rule_map)
      879    0.005    0.000    0.247    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
     2653    0.007    0.000    0.244    0.000 F:\Ventura\env\Lib\site-packages\torch\_dynamo\trace_rules.py:2883(load_object)
        1    0.000    0.000    0.243    0.243 F:\Ventura\env\Lib\site-packages\sympy\polys\rings.py:1(<module>)
        1    0.000    0.000    0.240    0.240 F:\Ventura\env\Lib\site-packages\torch\distributed\tensor\_ops\_conv_ops.py:1(<module>)
        1    0.000    0.000    0.235    0.235 F:\Ventura\env\Lib\site-packages\sympy\printing\__init__.py:1(<module>)
        1    0.000    0.000    0.235    0.235 F:\Ventura\env\Lib\site-packages\torch\_dynamo\variables\higher_order_ops.py:1(<module>)
      320    0.021    0.000    0.234    0.001 F:\Ventura\env\Lib\site-packages\torch\nn\utils\clip_grad.py:36(clip_grad_norm_)
    16598    0.025    0.000    0.233    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\activation.py:391(forward)
        1    0.000    0.000    0.229    0.229 F:\Ventura\env\Lib\site-packages\torch\onnx\__init__.py:1(<module>)
