         4913920 function calls (4584492 primitive calls) in 13.935 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   13.940   13.940 F:\Ventura\main\main.py:10(main)
        1    0.000    0.000    6.979    6.979 F:\Ventura\main\model_trainer.py:4(train_model)
        1    0.123    0.123    6.832    6.832 F:\Ventura\main\trade_executor.py:34(execute_trades)
        1    0.000    0.000    4.327    4.327 F:\Ventura\env\Lib\site-packages\stable_baselines3\ppo\ppo.py:306(learn)
        1    0.000    0.000    4.327    4.327 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\on_policy_algorithm.py:276(learn)
     2505    0.015    0.000    3.573    0.001 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\base_class.py:536(predict)
     2505    0.080    0.000    3.557    0.001 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:331(predict)
   3544/3    0.020    0.000    2.700    0.900 <frozen importlib._bootstrap>:1167(_find_and_load)
    886/2    0.009    0.000    2.700    1.350 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
    850/2    0.007    0.000    2.699    1.350 <frozen importlib._bootstrap>:666(_load_unlocked)
    848/2    0.004    0.000    2.699    1.349 <frozen importlib._bootstrap_external>:934(exec_module)
      321    0.001    0.000    2.698    0.008 F:\Ventura\env\Lib\site-packages\torch\_compile.py:22(inner)
   1927/4    0.003    0.000    2.697    0.674 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   1900/2    0.157    0.000    2.697    1.349 {built-in method builtins.exec}
        1    0.000    0.000    2.652    2.652 F:\Ventura\env\Lib\site-packages\stable_baselines3\ppo\ppo.py:80(__init__)
        1    0.000    0.000    2.651    2.651 F:\Ventura\env\Lib\site-packages\stable_baselines3\ppo\ppo.py:173(_setup_model)
        1    0.000    0.000    2.651    2.651 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\on_policy_algorithm.py:114(_setup_model)
        1    0.000    0.000    2.650    2.650 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:448(__init__)
        1    0.000    0.000    2.650    2.650 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:585(_build)
        1    0.000    0.000    2.642    2.642 F:\Ventura\env\Lib\site-packages\torch\optim\adam.py:33(__init__)
        1    0.000    0.000    2.642    2.642 F:\Ventura\env\Lib\site-packages\torch\optim\optimizer.py:343(__init__)
        1    0.000    0.000    2.640    2.640 F:\Ventura\env\Lib\site-packages\torch\_dynamo\__init__.py:1(<module>)
    927/8    0.006    0.000    2.634    0.329 <frozen importlib._bootstrap>:1209(_handle_fromlist)
    196/2    0.001    0.000    2.634    1.317 {built-in method builtins.__import__}
57616/10846    0.115    0.000    2.571    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:1732(_wrapped_call_impl)
57616/10846    0.190    0.000    2.541    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:1740(_call_impl)
        1    0.063    0.063    2.498    2.498 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\on_policy_algorithm.py:139(collect_rollouts)
        1    0.000    0.000    2.354    2.354 F:\Ventura\env\Lib\site-packages\torch\_dynamo\convert_frame.py:1(<module>)
     2505    0.015    0.000    2.000    0.001 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:709(_predict)
        1    0.110    0.110    1.825    1.825 F:\Ventura\env\Lib\site-packages\stable_baselines3\ppo\ppo.py:184(train)
     2048    0.034    0.000    1.710    0.001 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:636(forward)
     2505    0.032    0.000    1.429    0.001 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:743(get_distribution)
     2505    0.075    0.000    1.324    0.001 F:\Ventura\main\trade_executor.py:13(execute_trade_action)
     2101    0.016    0.000    1.249    0.001 E:\Python311\Lib\logging\__init__.py:1479(info)
     4873    0.038    0.000    1.230    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:684(_get_action_dist_from_latent)
     2101    0.014    0.000    1.229    0.001 E:\Python311\Lib\logging\__init__.py:1610(_log)
        1    0.000    0.000    1.210    1.210 F:\Ventura\env\Lib\site-packages\torch\_dynamo\utils.py:1(<module>)
        1    0.000    0.000    1.155    1.155 F:\Ventura\env\Lib\site-packages\torch\fx\experimental\symbolic_shapes.py:1(<module>)
        1    0.000    0.000    1.065    1.065 F:\Ventura\env\Lib\site-packages\torch\_dynamo\trace_rules.py:1(<module>)
        1    0.000    0.000    1.041    1.041 F:\Ventura\env\Lib\site-packages\torch\utils\_sympy\functions.py:1(<module>)
        1    0.000    0.000    1.018    1.018 F:\Ventura\env\Lib\site-packages\sympy\__init__.py:1(<module>)
     4873    0.034    0.000    1.009    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\distributions.py:287(proba_distribution)
        1    0.000    0.000    0.991    0.991 F:\Ventura\env\Lib\site-packages\torch\_dynamo\variables\__init__.py:1(<module>)
     2101    0.006    0.000    0.987    0.000 E:\Python311\Lib\logging\__init__.py:1636(handle)
     2101    0.011    0.000    0.978    0.000 E:\Python311\Lib\logging\__init__.py:1690(callHandlers)
     4873    0.126    0.000    0.976    0.000 F:\Ventura\env\Lib\site-packages\torch\distributions\categorical.py:53(__init__)
     2101    0.012    0.000    0.966    0.000 E:\Python311\Lib\logging\__init__.py:965(handle)
     2507    0.007    0.000    0.955    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:203(set_training_mode)
40112/2507    0.172    0.000    0.948    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:2827(train)
     7242    0.080    0.000    0.944    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\container.py:248(forward)
     2101    0.010    0.000    0.943    0.000 E:\Python311\Lib\logging\handlers.py:65(emit)
      848    0.017    0.000    0.881    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
     4553    0.007    0.000    0.874    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\distributions.py:80(get_actions)
     4553    0.017    0.000    0.867    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\distributions.py:297(sample)
     4553    0.087    0.000    0.849    0.000 F:\Ventura\env\Lib\site-packages\torch\distributions\categorical.py:130(sample)
     4873    0.017    0.000    0.767    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\torch_layers.py:224(forward_actor)
     2101    0.036    0.000    0.700    0.000 E:\Python311\Lib\logging\handlers.py:183(shouldRollover)
     5011    0.061    0.000    0.697    0.000 F:\Ventura\env\Lib\site-packages\pandas\core\series.py:1095(__getitem__)
